"year","day","radn","maxt","mint","rain"
2024,1,5.097,-1.7,-6.7,0
2024,2,8.558,0.6,-6.7,0
2024,3,8.145,4.4,-5.6,0
2024,4,8.39,1.1,-5.6,0
2024,5,7.096,0.6,-6.1,0
2024,6,5.775,1.1,-3.9,0
2024,7,3.316,0,-8.3,0.25
2024,8,6.86,-2.8,-8.3,0
2024,9,3.968,0.6,-3.3,16
2024,10,5.168,-1.1,-8.9,1.02
2024,11,7.223,-2.2,-10.6,1.02
2024,12,8.2,-5,-12.2,6.1
2024,13,4.751,-10,-17.2,6.86
2024,14,0,-16.7,-28.9,0.76
2024,15,10.521,-21.1,-28.9,0
2024,16,8.373,-18.3,-25.6,0
2024,17,10.761,-13.3,-22.2,0
2024,18,8.599,-6.1,-15.6,0.76
2024,19,6.265,-7.8,-21.7,4.83
2024,20,10.823,-15.6,-27.8,0
2024,21,11.192,-14.4,-27.2,0
2024,22,9.803,-2.8,-16.1,0
2024,23,7.521,0,-3.3,0
2024,24,4.835,0.6,-1.1,0.76
2024,25,3.301,1.1,-0.6,0.25
2024,26,2.248,1.7,-0.6,9.91
2024,27,5.919,2.2,-0.6,0.25
2024,28,8.163,-0.6,-2.8,0
2024,29,11.09,5.6,-5,0
2024,30,11.087,10,-5,0
2024,31,6.781,4.4,-1.7,0
2024,32,11.239,12.8,-1.7,0
2024,33,11.146,13.3,-1.1,0
2024,34,9.703,3.3,0,0
2024,35,10.646,4.4,-1.1,0
2024,36,10.441,8.9,-4.4,0
2024,37,11.156,12.2,-5,0
2024,38,10.73,12.8,-4.4,0
2024,39,6.134,13.9,3.9,0
2024,40,10.53,15,-1.7,0
2024,41,0,5.6,-3.9,0
2024,42,12.957,4.4,-5.6,0
2024,43,10.265,4.4,-6.1,0
2024,44,13.301,10,-6.1,0
2024,45,13.554,8.3,-3.9,0
2024,46,11.292,13.3,-5,0.51
2024,47,14.169,2.8,-6.1,4.83
2024,48,0.605,-3.9,-15.6,0
2024,49,15.37,-2.8,-13.9,0
2024,50,15.45,5.6,-7.2,0
2024,51,15.147,12.8,-5.6,0
2024,52,14.686,16.7,-3.3,0
2024,53,11.14,16.1,0.6,0
2024,54,14.682,17.8,-3.3,0
2024,55,13.909,11.1,-7.2,0
2024,56,15.7,10.6,-7.2,0
2024,57,15.78,17.8,-3.9,0
2024,58,16.112,24.4,1.1,0
2024,59,15.736,12.8,-15,0
2024,60,17.451,-1.1,-15,0
2024,61,17.052,13.3,-6.7,0
2024,62,16.549,12.2,-1.1,0
2024,63,17.065,18.9,-1.1,0
2024,64,16.828,24.4,0.6,1.02
2024,65,3.194,7.2,-4.4,0.25
2024,66,17.914,13.9,-5.6,0
2024,67,16.591,13.9,-3.3,0
2024,68,14.294,12.2,-1.7,2.29
2024,69,7.271,7.2,-7.2,0.51
2024,70,19.292,8.3,-8.3,0
2024,71,19.087,13.9,-7.8,0
2024,72,13.706,23.9,3.9,0
2024,73,0.037,20.6,0.6,0
2024,74,15.493,21.1,1.1,1.52
2024,75,7.652,8.9,-0.6,18.8
2024,76,19.919,12.8,-0.6,0
2024,77,15.726,10.6,-2.8,0
2024,78,18.201,2.8,-7.2,0
2024,79,21.282,2.8,-6.7,0
2024,80,0.102,17.8,-3.3,0
2024,81,0.03,5,-3.9,0
2024,82,18.922,7.8,-3.3,16.26
2024,83,15.455,1.1,-8.3,0.76
2024,84,15.615,1.1,-8.3,0
2024,85,3.698,6.7,-0.6,31.5
2024,86,0.016,16.1,-1.7,9.4
2024,87,11.827,0,-6.7,0
2024,88,23.218,4.4,-6.1,0
2024,89,21.931,11.1,-3.9,0
2024,90,15.323,17.8,2.2,0
