long,lat,massflow,gpstime,cycletime,distance,cutwidth,moisture,headerstatus,passno,monitorno,fieldid,loadid,crop,gpsstatus,pdop,altitude
-96.464027,41.185395,4.45,1002883522,2,66,240,11.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.8
-96.464024,41.185374,2.43,1002883524,2,86,240,11.6,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.5
-96.464024,41.185353,4.38,1002883526,2,96,240,11.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.5
-96.464023,41.185330,3.06,1002883528,2,99,240,11.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464022,41.185308,4.92,1002883530,2,100,240,11.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464022,41.185286,4.92,1002883532,2,101,240,11.4,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464022,41.185263,3.17,1002883534,2,101,240,11.4,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464021,41.185240,3.85,1002883536,2,96,240,11.4,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464021,41.185217,5.87,1002883538,2,99,240,11.6,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464020,41.185194,5.27,1002883540,2,98,240,11.7,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464021,41.185171,4.89,1002883542,2,94,240,11.7,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1199.1
-96.464020,41.185149,5.53,1002883544,2,93,240,11.9,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.8
-96.464020,41.185125,3.18,1002883546,2,102,240,12.1,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.8
-96.464019,41.185102,5.74,1002883548,2,100,240,12.2,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.8
-96.464018,41.185078,5.36,1002883550,2,101,240,12.3,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.8
-96.464018,41.185055,5.16,1002883552,2,99,240,12.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.8
-96.464017,41.185032,3.21,1002883554,2,96,240,12.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464017,41.185008,5.98,1002883556,2,103,240,12.6,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464016,41.184986,5.35,1002883558,2,90,240,12.7,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464017,41.184962,4.84,1002883560,2,105,240,12.8,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464016,41.184938,6.09,1002883562,2,99,240,12.9,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464016,41.184914,6.61,1002883564,2,104,240,12.6,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464016,41.184891,5.71,1002883566,2,98,240,12.8,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464016,41.184868,6.99,1002883568,2,100,240,12.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464016,41.184843,4.92,1002883570,2,103,240,12.6,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.8
-96.464016,41.184819,8.33,1002883572,2,104,240,12.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464017,41.184795,7.51,1002883574,2,101,240,12.7,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.2
-96.464017,41.184772,8.34,1002883576,2,103,240,12.7,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.2
-96.464018,41.184749,7.71,1002883578,2,98,240,12.8,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1197.8
-96.464019,41.184726,6.54,1002883580,2,98,240,13.1,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1197.8
-96.464019,41.184705,7.22,1002883582,2,92,240,13.2,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1197.8
-96.464019,41.184681,5.58,1002883584,2,103,240,13.3,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1197.8
-96.464019,41.184658,8.11,1002883586,2,92,240,13.2,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.2
-96.464019,41.184635,7.90,1002883588,2,104,240,13.4,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.2
-96.464020,41.184612,6.45,1002883590,2,96,240,13.3,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464020,41.184590,8.35,1002883592,2,94,240,13.3,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464020,41.184567,7.49,1002883594,2,100,240,13.5,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.5
-96.464021,41.184544,7.10,1002883596,2,98,240,13.6,33,1,980415,"F36:2.31","L1:E","SOYBEANS",7,0,1198.8
